playlist,stem_type,title,filename
comedown Vocals,vocals,Wish You Were Here,01-04 Wish You Were Here.flac
comedown Vocals,vocals,Woman (Remastered 2010),02-10 Woman.flac
comedown Vocals,vocals,We Have All the Time in the World,01-04 We Have All the Time in the World.flac
comedown Instrumentals,instrumental,Wish You Were Here,01-04 Wish You Were Here.flac
comedown Instrumentals,instrumental,Woman (Remastered 2010),02-10 Woman.flac
comedown Instrumentals,instrumental,We Have All the Time in the World,01-04 We Have All the Time in the World.flac
emotional-peak Vocals,vocals,Gyöngyhajú lány,01-02 Gyöngyhajú lány.flac
emotional-peak Vocals,vocals,Szamár Madár,01-08 Szamár Madár.flac
emotional-peak Vocals,vocals,Violent Crimes,01-07 Violent Crimes.flac
emotional-peak Instrumentals,instrumental,Gyöngyhajú lány,01-02 Gyöngyhajú lány.flac
emotional-peak Instrumentals,instrumental,Szamár Madár,01-08 Szamár Madár.flac
emotional-peak Instrumentals,instrumental,Violent Crimes,01-07 Violent Crimes.flac
interlude Vocals,vocals,"16 Waltzes, Op. 39 - No. 15 in A-Flat Major",01-15 No. 15 in A-Flat Major.flac
interlude Instrumentals,instrumental,"16 Waltzes, Op. 39 - No. 15 in A-Flat Major",01-15 No. 15 in A-Flat Major.flac
peak-time Vocals,vocals,212,01-05 212.flac
peak-time Vocals,vocals,When A Fire Starts To Burn,01-02 When A Fire Starts To Burn.flac
peak-time Vocals,vocals,We Built This City,01-01 We Built This City.flac
peak-time Vocals,vocals,Walkürenritt,01-05 Walkürenritt.flac
peak-time Vocals,vocals,Want to Want Me,01-01 Want to Want Me.flac
peak-time Vocals,vocals,Waterfall (TOKiMONSTA Remix),01-03 Waterfall.flac
peak-time Vocals,vocals,What I Want,01-01 What I Want.flac
peak-time Vocals,vocals,Twist And Shout,01-01 Twist And Shout.flac
peak-time Vocals,vocals,You & Me,01-01 You & Me.flac
peak-time Vocals,vocals,White Noise,01-05 White Noise.flac
peak-time Instrumentals,instrumental,212,01-05 212.flac
peak-time Instrumentals,instrumental,When A Fire Starts To Burn,01-02 When A Fire Starts To Burn.flac
peak-time Instrumentals,instrumental,We Built This City,01-01 We Built This City.flac
peak-time Instrumentals,instrumental,Walkürenritt,01-05 Walkürenritt.flac
peak-time Instrumentals,instrumental,Want to Want Me,01-01 Want to Want Me.flac
peak-time Instrumentals,instrumental,Waterfall (TOKiMONSTA Remix),01-03 Waterfall.flac
peak-time Instrumentals,instrumental,What I Want,01-01 What I Want.flac
peak-time Instrumentals,instrumental,Twist And Shout,01-01 Twist And Shout.flac
peak-time Instrumentals,instrumental,You & Me,01-01 You & Me.flac
peak-time Instrumentals,instrumental,White Noise,01-05 White Noise.flac
set-opener Vocals,vocals,Who Could Win A Rabbit,01-02 Who Could Win A Rabbit.flac
set-opener Vocals,vocals,Wede Harer Guzo,01-06 Wede Harer Guzo.flac
set-opener Vocals,vocals,White Hop,01-06 White Hop.flac
set-opener Vocals,vocals,Vitamin C,01-04 Vitamin C.flac
set-opener Vocals,vocals,Tuyo (Narcos Theme),01-01 Tuyo (Narcos Theme).flac
set-opener Vocals,vocals,"Die Hochzeit des Figaro, KV 492: Ouvertüre","01-05 Die Hochzeit des Figaro, KV 492  Ouvertüre.flac"
set-opener Vocals,vocals,"You're The First, The Last, My Everything (Single Version)","01-05 You're The First, The Last, My Everything.flac"
set-opener Instrumentals,instrumental,Who Could Win A Rabbit,01-02 Who Could Win A Rabbit.flac
set-opener Instrumentals,instrumental,Wede Harer Guzo,01-06 Wede Harer Guzo.flac
set-opener Instrumentals,instrumental,White Hop,01-06 White Hop.flac
set-opener Instrumentals,instrumental,Vitamin C,01-04 Vitamin C.flac
set-opener Instrumentals,instrumental,Tuyo (Narcos Theme),01-01 Tuyo (Narcos Theme).flac
set-opener Instrumentals,instrumental,"Die Hochzeit des Figaro, KV 492: Ouvertüre","01-05 Die Hochzeit des Figaro, KV 492  Ouvertüre.flac"
set-opener Instrumentals,instrumental,"You're The First, The Last, My Everything (Single Version)","01-05 You're The First, The Last, My Everything.flac"
sunrise Vocals,vocals,Worry Wart,01-01 Worry Wart.flac
sunrise Vocals,vocals,"Suite Bergamasque, L. 75: III. Clair De Lune","01-05 Suite Bergamasque, L. 75  III. Clair De Lune.flac"
